,ruleta
,cross
0,22.203333333333333
1,22.636666666666667
2,23.03
3,20.94333333333333
4,20.69333333333333
5,21.443333333333335
6,22.27666666666667
7,22.716666666666665
8,23.606666666666666
9,22.026666666666664
10,23.2
11,23.47666666666667
12,22.989999999999995
13,22.85
14,21.953333333333326
15,23.25333333333333
16,21.789999999999996
17,23.09333333333333
18,22.423333333333332
19,24.846666666666664
20,24.013333333333332
21,22.6
22,22.953333333333333
23,22.99
24,22.933333333333334
25,22.486666666666668
26,22.88333333333334
27,23.086666666666673
28,22.69666666666667
29,23.379999999999995
30,24.33
31,22.569999999999997
32,23.54333333333333
33,25.22333333333334
34,24.856666666666662
35,24.643333333333334
36,27.02
37,27.586666666666666
38,31.840000000000003
39,29.779999999999994
40,32.696666666666665
41,31.3
42,32.54333333333334
43,32.83333333333333
44,36.81
45,35.33333333333334
46,38.00333333333332
47,40.88333333333333
48,40.34333333333334
49,42.01333333333333
50,40.25666666666667
51,40.68
52,41.18666666666666
53,41.67000000000001
54,40.0
55,41.07
56,40.156666666666666
57,42.66333333333334
58,41.55666666666667
59,42.61000000000001
60,41.61333333333333
61,43.67333333333334
62,44.75999999999999
63,45.52666666666667
64,45.27000000000001
65,46.95666666666667
66,48.77
67,48.70333333333333
68,49.52666666666667
69,48.88
70,48.20666666666666
71,52.61333333333332
72,52.66999999999999
73,56.29
74,53.97666666666666
75,56.90333333333333
76,55.52333333333333
77,57.48333333333333
78,57.776666666666664
79,56.856666666666676
80,60.6
81,60.88333333333333
82,62.99333333333334
83,64.21333333333332
84,64.33333333333334
85,59.83999999999999
86,66.07666666666665
87,67.16666666666667
88,66.34333333333333
89,64.77666666666667
90,73.15666666666667
91,67.80333333333334
92,74.78666666666666
93,74.57
94,73.06666666666668
95,68.71
96,74.05333333333334
97,76.57
98,80.43666666666667
99,78.59
100,81.91333333333333
101,80.87666666666667
102,92.46666666666665
103,89.46666666666668
104,89.35333333333334
105,92.57
106,92.39666666666666
107,91.89333333333335
108,98.54666666666667
109,92.44666666666667
110,103.05333333333334
111,102.07666666666665
112,109.71333333333332
113,109.44
114,103.29666666666664
115,108.01666666666664
116,116.09666666666664
117,116.80999999999999
118,122.07333333333332
119,125.90666666666667
120,124.96666666666668
121,123.12666666666667
122,135.62
123,130.21
124,125.66666666666666
